node1,label,node2,node2;prob
Q1086823,in,cluster_0,1.0
Q345517,in,cluster_0,1.0
Q432694,in,cluster_1,0.8962896289628963
Q75326809,in,cluster_0,1.0
Q75326777,in,cluster_0,1.0
Q75326779,in,cluster_0,1.0
Q75326780,in,cluster_0,1.0
Q96079835,in,cluster_0,0.9998999899989999
Q96079836,in,cluster_0,1.0
Q96079838,in,cluster_0,0.9998999899989999
Q76363382,in,cluster_0,0.9998999899989999
Q76363384,in,cluster_0,0.9998999899989999
Q76363386,in,cluster_0,0.9998999899989999
Q11673,in,cluster_2,0.947994799479948
Q467912,in,cluster_2,1.0
Q134549,in,cluster_3,0.8195819581958196
Q9696,in,cluster_3,0.9022902290229022
Q313696,in,cluster_4,0.9993999399939995
Q236540,in,cluster_4,0.9994999499949995
Q441424,in,cluster_5,0.9943994399439944
Q7926996,in,cluster_5,0.5571557155715572
Q25310,in,cluster_6,1.0
Q265595,in,cluster_4,0.9993999399939995
Q268799,in,cluster_4,0.9994999499949995
Q272401,in,cluster_4,0.9995999599959996
Q272908,in,cluster_1,0.7593759375937594
Q505178,in,cluster_4,0.9993999399939995
Q2383370,in,cluster_5,0.9940994099409941
Q3048622,in,cluster_5,0.9940994099409941
Q948920,in,cluster_5,0.9940994099409941
Q1352872,in,cluster_2,1.0
Q258661,in,cluster_2,1.0
Q1386420,in,cluster_2,1.0
Q1804720,in,cluster_2,1.0
Q1975383,in,cluster_2,1.0
Q273833,in,cluster_2,1.0
Q467861,in,cluster_2,1.0
Q5112377,in,cluster_2,1.0
Q5178632,in,cluster_2,1.0
Q5301573,in,cluster_2,1.0
Q6794923,in,cluster_2,1.0
Q165421,in,cluster_5,0.7181718171817182
Q230303,in,cluster_5,0.7181718171817182
Q316064,in,cluster_5,0.7181718171817182
Q3290402,in,cluster_5,0.7181718171817182
Q75326753,in,cluster_5,0.7181718171817182
Q230654,in,cluster_7,0.9798979897989799
Q317248,in,cluster_7,0.9998999899989999
Q2685,in,cluster_8,1.0
Q3436301,in,cluster_7,1.0
Q3529079,in,cluster_7,1.0
Q4773467,in,cluster_7,1.0
Q6769708,in,cluster_7,1.0
Q28109921,in,cluster_8,1.0
Q28109928,in,cluster_8,1.0
Q4521676,in,cluster_8,1.0
Q901541,in,cluster_8,1.0
Q23800185,in,cluster_8,1.0
Q75494768,in,cluster_8,0.9998999899989999
Q23800370,in,cluster_8,0.9998999899989999
Q3288486,in,cluster_8,0.9996999699969997
Q96076900,in,cluster_8,0.9877987798779878
Q38196234,in,cluster_8,0.9998999899989999
Q24004771,in,cluster_8,0.985998599859986
Q96077739,in,cluster_7,0.9944994499449945
Q96077740,in,cluster_7,0.9934993499349934
Q65589427,in,cluster_7,0.9432943294329433
Q43100988,in,cluster_8,0.9894989498949895
Q503706,in,cluster_8,0.9916991699169917
Q4491,in,cluster_8,0.98999899989999
Q65589450,in,cluster_7,0.9445944594459446
Q75496774,in,cluster_8,0.9888988898889889
Q4616,in,cluster_5,0.42244224422442245
